Feature,lightgbm,logistic_regression,random_forest,xgboost
advance_booking_days,37.0,0.004803465753832682,0.002217634406087257,0.002336645731702447
age,16.0,0.0008335665163410719,0.0019432487387918734,0.0
avg_ticket_price,9.0,0.00021674477921876292,0.0009077490189907767,0.0
composite_risk_score,4.0,0.8264177943375772,0.2058439940380883,0.2174823135137558
days_to_departure,3.0,0.004803465753832682,0.0024092392275659237,0.0
departure_month,3.0,0.0015930517246850072,0.0004161729132996017,0.0
flight_duration,64.0,0.0035116949956986495,0.0007766220071174088,0.0
historical_no_show_rate,30.0,1.772326525500422,0.22473538103243185,0.15544092655181885
passenger_reliability_score,2.0,1.1790157270637787,0.2280479666942431,0.36691614985466003
price_for_advance_booking,2.0,0.0520975209859941,0.0015308456795751256,0.0
price_per_hour,7.0,0.0169802836005751,0.001411249186561164,0.0
price_vs_route_avg,2.0,0.02190051707998997,0.0011854043273382703,0.0
route_avg_advance_booking,10.0,0.005284502949106446,0.0005551839994668427,0.0
route_avg_duration,8.0,0.003520691752372909,0.0007664763915206186,0.0
route_avg_price,14.0,0.001243665273587837,0.0006684437757234437,0.0
route_no_show_rate,5.0,0.0544995025349285,0.0183879908586858,0.0
route_price_percentile,2.0,0.04105649591741483,0.001170575832229601,0.0
route_price_volatility,10.0,0.0029753106649636554,0.0008262924774546553,0.0
ticket_price,255.0,0.00021674477921876292,0.0012143197474622917,0.0
total_no_shows,122.0,1.772326525500422,0.26512199679584575,0.25409260392189026
